Name,RAJ2000,DEJ2000,Galaxy,Vmag,Imag,T_eff,log_g,Fe_H,Mg_Fe,Si_Fe,Ca_Fe,Ti_Fe,Simbad,Star ID,Paper,logL,S_N,a_Fe,l_C_Fe,C_Fe,l_C_Fe_c,C_Fe_c,S2CH,Cstar,e_T_eff,vt,e_Fe_H,e_a_Fe,Ba_Fe,e_Ba_Fe,K10,o_Mg,e_Mg_Fe,o_Y,Y_Fe,e_Y_Fe,o_Ba,o_La,La_Fe,e_La_Fe,o_Nd,Nd_Fe,e_Nd_Fe,o_Eu,Eu_Fe,e_Eu_Fe,e_log_g,e_vt,Mn_Fe,e_Mn_Fe,K16,logeps_Mg,e_tot_Mg,logeps_Sc,e_tot_Sc,logeps_Ti,e_tot_Ti,logeps_Cr,e_tot_Cr,logeps_Mn,e_tot_Mn,logeps_Ni,e_tot_Ni,logeps_Zn,e_tot_Zn,logeps_Sr,e_tot_Sr,logeps_Ba,e_tot_Ba,logeps_Eu,e_tot_Eu,Jmag,Hmag,Kmag,l_RV,RV,e_RV,Co_Fe,e_Co_Fe,er_Co_Fe,Ni_Fe,e_Ni_Fe,er_Ni_Fe,o_Ni_Fe,er_Ba_Fe,o_Ba_Fe,er_Eu_Fe,A,Nmasks,HRV,e_HRV,Member,f_Mm,e_Si_Fe,e_Ca_Fe,e_Ti_Fe,ID_K15,ID_M16,f_MIC2016,Radius,gP1mag,e_gP1mag,iP1mag,e_iP1mag,Masks,sigma,EW,Fe_H_CaT,e_Fe_H_CaT,slitmask,SNR
1003443,14.8639,-33.64648333,Scl,,,4436.0,1.2599999904632568,-1.8200000524520874,,,,,[KGS2010] Scl 1003443,Scl_5,Duggan 2018,,,-0.10999999940395355,,,,,,,68.0,1.840000033378601,0.10000000149011612,0.12999999523162842,-0.5600000023841858,0.23999999463558197,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003443,14.8639167,-33.6464722,Scl,,,4433.0,1.2599999904632568,-1.809999942779541,,,,,,Scl_5,Kirby 2015,2.7200000286102295,13.0,-0.10999999940395355,,-1.0299999713897705,,-0.4099999964237213,1.7300000190734863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003537,14.865375,-33.6765,Scl,17.094999313354492,15.72599983215332,4259.0,0.5799999833106995,-2.2799999713897705,0.41999998688697815,0.4000000059604645,0.3400000035762787,0.20000000298023224,Simbad,Scl_6,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003537,14.865375,-33.6765,Scl,,,4278.0,0.5799999833106995,-2.259999990463257,,,,,,Scl_6,Kirby 2015,3.200000047683716,22.5,0.20999999344348907,,-0.9599999785423279,,-0.18000000715255737,1.6699999570846558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UET0049,14.8653333,-33.6765278,Scl,,,4255.0,0.20000000298023224,-2.180000066757202,0.38999998569488525,,,,Simbad,Scl_6,Skuladottir 2019,,,,,,,,,,,2.299999952316284,0.20000000298023224,,-0.44999998807907104,0.12999999523162842,,3.0,0.14000000059604645,7.0,-0.5299999713897705,0.05999999865889549,3.0,3.0,0.0,0.15000000596046448,11.0,-0.029999999329447746,0.09000000357627869,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003694,14.8679167,-33.702,Scl,16.9689998626709,15.404999732971191,3923.0,0.3199999928474426,-1.6299999952316284,0.09000000357627869,0.10000000149011612,0.029999999329447746,-0.10000000149011612,Simbad,Scl_7,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003694,14.8679167,-33.702,Scl,,,3920.0,0.3199999928474426,-1.6699999570846558,,,,,,Scl_7,Kirby 2015,3.3499999046325684,21.299999237060547,-0.03999999910593033,,-1.4199999570846558,,-0.6600000262260437,1.6699999570846558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ET0109,14.867875,-33.702,Scl,,,4003.0,0.0,-1.850000023841858,0.550000011920929,,,,Simbad,Scl_7,Skuladottir 2019,,,,,,,,,,,2.5999999046325684,0.10999999940395355,,0.3400000035762787,0.07999999821186066,,1.0,0.09000000357627869,3.0,-0.3400000035762787,0.15000000596046448,2.0,6.0,0.03999999910593033,0.07999999821186066,16.0,0.10999999940395355,0.03999999910593033,1.0,0.6499999761581421,0.11999999731779099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003702,14.8696667,-33.6491111,Scl,18.851999282836914,17.790000915527344,4581.0,1.5800000429153442,-1.8899999856948853,,0.3400000035762787,0.10000000149011612,0.10999999940395355,Simbad,Scl_8,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003702,14.86968333,-33.6491,Scl,,,4604.0,1.5800000429153442,-1.8700000047683716,,,,,[KGS2010] Scl 1003702,Scl_8,Duggan 2018,,,0.14000000059604645,,,,,,,50.0,1.7699999809265137,0.10000000149011612,0.10999999940395355,-0.5199999809265137,0.25999999046325684,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003702,14.8696667,-33.6491111,Scl,,,4603.0,1.5800000429153442,-1.8600000143051147,,,,,,Scl_8,Kirby 2015,2.390000104904175,8.699999809265137,0.14000000059604645,,-0.7799999713897705,,-0.36000001430511475,1.7400000095367432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003967,14.8768333,-33.6013611,Scl,17.875999450683594,16.73200035095215,4525.0,1.1100000143051147,-2.6600000858306885,,0.2800000011920929,0.6000000238418579,0.4000000059604645,Simbad,Scl_9,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ET0236,14.8768333,-33.6013861,Scl,,,4547.0,1.0,-2.4100000858306885,0.47999998927116394,,,,Simbad,Scl_9,Skuladottir 2019,,,,,,,,,,,1.7000000476837158,0.20999999344348907,,-0.5699999928474426,0.14000000059604645,,1.0,0.17000000178813934,2.0,-0.18000000715255737,0.33000001311302185,2.0,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004020,14.877375,-33.6203056,Scl,19.926000595092773,18.948999404907227,4814.0,2.109999895095825,-1.4600000381469727,,0.1599999964237213,0.4099999964237213,0.3700000047683716,Simbad,Scl_10,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004020.0,14.877375,-33.6203028,Scl,,,4785.0,2.109999895095825,-1.3300000429153442,,,,,[KGS2010] Scl   1004020,Scl_10,de los Reyes 2020,,,-0.12999999523162842,,,,,,,76.0,1.6799999475479126,0.11999999731779099,0.23000000417232513,,,1.0,,,,,,,,,,,,,,,,0.10000000149011612,0.07999999821186066,-0.3700000047683716,0.27000001072883606,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004135,14.8775833,-33.7018611,Scl,18.679000854492188,17.614999771118164,4656.0,1.5099999904632568,-2.0899999141693115,0.3199999928474426,0.27000001072883606,0.30000001192092896,0.10000000149011612,Simbad,Scl_11,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004135,14.87759167,-33.701875,Scl,,,4670.0,1.5099999904632568,-2.0899999141693115,,,,,[KGS2010] Scl 1004135,Scl_11,Duggan 2018,,,0.09000000357627869,,,,,,,44.0,1.7899999618530273,0.10999999940395355,0.11999999731779099,-0.3799999952316284,0.1899999976158142,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004135,14.8775833,-33.7018611,Scl,,,4669.0,1.5099999904632568,-2.0799999237060547,,,,,,Scl_11,Kirby 2015,2.450000047683716,9.100000381469727,0.09000000357627869,,-0.6399999856948853,,-0.15000000596046448,1.7300000190734863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004084,14.878875,-33.6138611,Scl,19.757999420166016,18.809999465942383,4887.0,2.0799999237060547,-2.5399999618530273,,1.309999942779541,,0.8999999761581421,Simbad,Scl_12,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004084.0,14.878875,-33.6138694,Scl,,,4913.0,2.0799999237060547,-2.390000104904175,,,,,[KGS2010] Scl   1004084,Scl_12,de los Reyes 2020,,,0.9599999785423279,,,,,,,49.0,1.7899999618530273,0.10999999940395355,0.14000000059604645,,,1.0,,,,,,,,,,,,,,,,0.10000000149011612,0.07000000029802322,0.6399999856948853,0.25999999046325684,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004271,14.881375,-33.6615833,Scl,20.197999954223633,19.291000366210938,4967.0,2.299999952316284,-1.9800000190734863,,0.5699999928474426,0.10000000149011612,,Simbad,Scl_13,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004271,14.881375,-33.6615833,Scl,,,4992.0,2.299999952316284,-1.9600000381469727,,,,,,Scl_13,Kirby 2015,1.7999999523162842,2.799999952316284,0.10999999940395355,,-0.30000001192092896,,-0.28999999165534973,1.7999999523162842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004360,14.8829167,-33.6772778,Scl,19.5939998626709,18.58300018310547,4746.0,1.940000057220459,-2.0399999618530273,,0.33000001311302185,0.4300000071525574,0.30000001192092896,Simbad,Scl_14,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004360,14.8829167,-33.6772778,Scl,,,4770.0,1.940000057220459,-2.0299999713897705,,,,,,Scl_14,Kirby 2015,2.069999933242798,4.800000190734863,0.25,,-0.8299999833106995,,-0.7300000190734863,1.6200000047683716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004320,14.8831667,-33.6435833,Scl,19.143999099731445,18.165000915527344,4842.0,1.7999999523162842,-2.119999885559082,,0.27000001072883606,0.1899999976158142,-0.3199999928474426,Simbad,Scl_15,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004448,14.8865833,-33.6030278,Scl,18.47800064086914,17.405000686645508,4687.0,1.4199999570846558,-1.840000033378601,0.41999998688697815,0.17000000178813934,0.5699999928474426,0.0,Simbad,Scl_16,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004448.0,14.8865833,-33.6030306,Scl,,,4679.0,1.4199999570846558,-1.8700000047683716,,,,,[KGS2010] Scl   1004448,Scl_16,de los Reyes 2020,,,0.12999999523162842,,,,,,,109.0,1.8300000429153442,0.10999999940395355,0.27000001072883606,,,1.0,,,,,,,,,,,,,,,,0.10000000149011612,0.07000000029802322,-0.6000000238418579,0.20999999344348907,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004645,14.8901667,-33.6317222,Scl,19.308000564575195,18.25200080871582,4660.0,1.7599999904632568,-1.2200000286102295,-0.05000000074505806,0.4300000071525574,0.27000001072883606,-0.09000000357627869,Simbad,Scl_17,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004645.0,14.8901667,-33.6317139,Scl,,,4658.0,1.7599999904632568,-1.2599999904632568,,,,,[KGS2010] Scl   1004645,Scl_17,de los Reyes 2020,,,0.15000000596046448,,,,,,,65.0,1.9600000381469727,0.10000000149011612,0.10000000149011612,,,1.0,,,,,,,,,,,,,,,,0.10999999940395355,0.05999999865889549,-0.38999998569488525,0.17000000178813934,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
