Paper,BibT,From,Facility,Resolution,Solar Abundance,Original Order,Bib
Melendez 2001,2001ApJ...556..858M,SAGA,"Phoenix Spectrograph on Kitt Peak Peak National Observatory (KPNO, 2.1m)",60000,"Grevesse et al. (1996, ASPC, 99, 117)",35,2001ApJ...556..858M
Israelian 2001,2001ApJ...557L..43I,SAGA,"Utrecht echelle spectrograph (UES) on William Herschel Telescope (WHT,4.2m)",50000,"Anders and Grevesse (1989, GeCoA, 53, 197)",36,2001ApJ...557L..43I
Aoki 2001,2001ApJ...561..346A,SAGA,UCLES on Anglo-Australian 3.9m Telescope,40000,"Grevesse et al. (1996, ASPC, 99, 117)",37,2001ApJ...561..346A
Norris 2001,2001ApJ...561.1034N,SAGA,UCLES on Anglo-Australian 3.9m Telescope,42000,"Anders and Grevesse (1989, GeCoA, 53, 197) / Lambert (1978, MNRAS, 182, 249)",38,2001ApJ...561.1034N
Cayrel 2001,2001NewAR..45..533C,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",47000,unregistered,39,2001NewAR..45..533C
Giridhar 2001,2001PASP..113..519G,SAGA,Apache Point Observatory (APO) 3.5 m Telescope (3.5m),38000,self,40,2001PASP..113..519G
Hill 2002,2002A&A...387..560H,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",86000,"Anders and Grevesse (1989, GeCoA, 53, 197)",42,2002A&A...387..560H
Hill 2002,2002A&A...387..560H,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",86000,"Anders and Grevesse (1989, GeCoA, 53, 197)",43,2002AAP...387..560H
Depagne 2002,2002A&A...390..187D,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",45000,self,44,2002AAP...390..187D
Nissen 2002,2002A&A...390..235N,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",55000,unregistered,45,2002AAP...390..235N
Ford 2002,2002A&A...393..617F,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,self,46,2002AAP...393..617F
Mishenina 2002,2002A&A...396..189M,SAGA,ELODIE spectrograph on the Haute Provence Observatoir (1.93m),42000,self,47,2002AAP...396..189M
Stephens 2002,2002AJ....123.1647S,SAGA,"HIRES on Keck I (HIRES, 10m)",48000,"Anders and Grevesse (1989, GeCoA, 53, 197)",48,2002AJ....123.1647S
Cohen 2002,2002AJ....124..470C,SAGA,"HIRES on Keck I (HIRES, 10m)",45000,self,49,2002AJ....124..470C
Carretta 2002,2002AJ....124..481C,SAGA,"HIRES on Keck I (HIRES, 10m)",45000,"Anders and Grevesse (1989, GeCoA, 53, 197) / unregistered",50,2002AJ....124..481C
Aoki 2002,2002ApJ...567.1166A,SAGA,UCLES on Anglo-Australian 3.9m Telescope,40000,"Grevesse et al. (1996, ASPC, 99, 117)",51,2002ApJ...567.1166A
Norris 2002,2002ApJ...569L.107N,SAGA,UCLES on Anglo-Australian 3.9m Telescope,high,self,52,2002ApJ...569L.107N
Cowan 2002,2002ApJ...572..861C,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,60000,"Grevesse & Sauval (1998, SSRv, 85, 161)",53,2002ApJ...572..861C
Takada-Hidai 2002,2002ApJ...573..614T,SAGA,"HIDES at the Okayama Astrophysical Observatory (OAO) (OAO, 1.88m)",24500,unregistered,54,2002ApJ...573..614T
Melendez 2002,2002ApJ...575..474M,SAGA,"Fibre-fed Extended Range echelle Spectrograph (FEROS), at ESO (1.52m)",48000,self,55,2002ApJ...575..474M
Aoki 2002,2002ApJ...576L.141A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,"Grevesse et al. (1996, ASPC, 99, 117)",56,2002ApJ...576L.141A
Johnson 2002,2002ApJ...579..616J,SAGA,"HIRES on Keck I (HIRES, 10m)",45000,"Anders and Grevesse (1989, GeCoA, 53, 197)",58,2002ApJ...579..616J
Johnson 2002,2002ApJ...579L..87J,SAGA,"HIRES on Keck I (HIRES, 10m)",45000,self,57,2002ApJ...579...87J
Johnson 2002,2002ApJ...579L..87J,JINA,"HIRES on Keck I (HIRES, 10m)",45000,self,59,2002ApJ...579L..87J
Aoki 2002,2002ApJ...580.1149A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,"Grevesse et al. (1996, ASPC, 99, 117)",60,2002ApJ...580.1149A
Johnson 2002,2002ApJS..139..219J,SAGA,"HIRES on Keck I (HIRES, 10m)",45000,self,61,2002ApJS..139..219J
Aoki 2002,2002PASJ...54..427A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,"Grevesse et al. (1996, ASPC, 99, 117)",62,2002PASJ...54..427A
Aoki 2002,2002PASJ...54..933A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,"Grevesse et al. (1996, ASPC, 99, 117)",63,2002PASJ...54..933A
Francois 2003,2003A&A...403.1105F,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",45000,"Grevesse & Sauval (2000, orel.conf., 261)",64,2003AAP...403.1105F
Gratton 2003,2003A&A...404..187G,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,80000,"Anders and Grevesse (1989, GeCoA, 53, 197)",65,2003AAP...404..187G
VanEck 2003,2003A&A...404..291V,SAGA,AURELIE spectrograph at Observatoire de Haute Provence (1.52m),85000,"Grevesse & Sauval (1998, SSRv, 85, 161)",66,2003AAP...404..291V
Carney 2003,2003AJ....125..293C,SAGA,FAST spectrograph on Tillinghast telescope (1.5m),nan,self,67,2003AJ....125..293C
Shetrone 2003,2003AJ....125..684S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,"Grevesse & Sauval (1998, SSRv, 85, 161)",68,2003AJ....125..684S
Lucatello 2003,2003AJ....125..875L,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",50000,"Anders and Grevesse (1989, GeCoA, 53, 197) / unregistered",69,2003AJ....125..875L
Aoki 2003,2003ApJ...586..506A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,"Grevesse et al. (1996, ASPC, 99, 117)",70,2003ApJ...586..506A
Barbuy 2003,2003ApJ...588.1072B,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",43000,"Grevesse et al. (1996, ASPC, 99, 117)",71,2003ApJ...588.1072B
Cohen 2003,2003ApJ...588.1082C,SAGA,"HIRES on Keck I (HIRES, 10m)",45000,unregistered,72,2003ApJ...588.1082C
